id_registro,texto_original,dimension_psicologica,nivel_riesgo_estimado
29,Estoy realmente aliviado de haber decidido finalmente buscar terapia. La verdad es que últimamente he estado luchando con la crianza de los hijos y simplemente no sé qué hacer.,General / Apoyo Emocional,Bajo
30,Me siento decepcionado con mi trabajo.,General / Apoyo Emocional,Bajo
31,¡Me siento muy feliz hoy! Mi hermano me visitó después de mucho tiempo y me trajo mucha alegría.,General / Apoyo Emocional,Bajo
32,"Estoy muy agradecida por esta oportunidad de hablar sobre mi infancia. Al crecer, tuve muchos altibajos, pero me he dado cuenta de que mi autoestima se vio profundamente afectada durante esos años. Las constantes comparaciones y críticas de mis padres y compañeros me hicieron sentir inadecuado e indigno. Pero hoy quiero centrarme en encontrar soluciones para desarrollar mi autoestima y crear una imagen más positiva de mí mismo.",General / Apoyo Emocional,Bajo
33,"Oye, espero que estés bien. Me dirijo a usted porque últimamente me he sentido muy ansioso por el estrés relacionado con el trabajo. Ha sido abrumador y siento una sensación de dependencia de mi trabajo de la que parece que no puedo deshacerme. ¿Crees que podrías ayudarme con esto?",Estrés (DASS-21),Crítico
34,Me he sentido muy enojado últimamente y creo que realmente está pasando factura a mi autoestima. El trabajo se ha convertido en una fuente abrumadora de estrés para mí y siento que me ahogo constantemente en la presión de tener éxito.,Estrés (DASS-21),Crítico
35,Debo decir que me siento aliviado de tener finalmente a alguien con quien hablar sobre mis sueños.,General / Apoyo Emocional,Bajo
36,Últimamente me he sentido muy avergonzado y eso está afectando mucho mi autoestima.,General / Apoyo Emocional,Bajo
37,Me siento tan perdida sin mi novio. Es como si faltara una gran parte de mí.,General / Apoyo Emocional,Bajo
38,"Últimamente me he sentido muy a la defensiva, sobre todo en lo que respecta a mi trabajo. Está afectando mi relación con mis compañeros y no sé cómo manejarlo.",General / Apoyo Emocional,Bajo
39,Me siento tan confundido. Ella siempre está en mi mente y es abrumador. Parece que no puedo deshacerme de este sentimiento de inquietud.,Estrés (DASS-21),Moderado
40,Me siento muy triste y abrumada. Es como si me estuviera ahogando en pánico.,Ansiedad (DASS-21),Moderado
41,"Me siento muy ansioso hoy. Sé que ha pasado un tiempo desde mi pérdida, pero a veces todavía siento que fue ayer. Quiero estar seguro de que las cosas mejorarán, pero ahora mismo siento que todos mis sueños se han hecho añicos.",General / Apoyo Emocional,Bajo
42,"Hola, espero que estés bien. Últimamente me he sentido bastante preocupado por el estrés relacionado con el trabajo. Me ha estado pasando factura y espero encontrar orientación y apoyo aquí. La confianza es crucial para mí a la hora de establecer un espacio seguro para abrirme.",Estrés (DASS-21),Moderado
43,Me siento realmente disgustado conmigo mismo y con mi relación en este momento. Es como si todo se estuviera desmoronando y simplemente no sé qué hacer.,General / Apoyo Emocional,Bajo
44,"Tengo miedo, terapeuta. Miedo de que mis sueños nunca se hagan realidad por culpa de esta adicción que me frena.",Ansiedad (DASS-21),Moderado
45,"Últimamente me siento muy molesto, es como si no tuviera control sobre mis propias emociones.",General / Apoyo Emocional,Bajo
46,"Ni siquiera sé por dónde empezar... Estoy tan decepcionada de mí misma. Me prometí a mí misma que no dejaría que la adicción controlara mi vida, pero aquí estoy, atrapada en sus garras.",General / Apoyo Emocional,Bajo
47,"¡Hola! Espero que estés bien hoy. Debo admitir que me siento un poco nervioso por nuestra sesión, pero también estoy emocionado porque en el fondo sé que el éxito es posible cuando se trata de superar mi dolor.",Ansiedad (DASS-21),Moderado
48,"Oye, últimamente me siento muy inseguro. Ha sido abrumador y no puedo deshacerme de este miedo constante.",Estrés (DASS-21),Moderado
49,"Últimamente me he sentido muy inseguro, especialmente en lo que respecta a la comunicación con los demás. Es como si tuviera dificultades para expresarme y abrirme a lo que realmente siento.",General / Apoyo Emocional,Bajo
50,Me siento aliviado y en pánico al mismo tiempo. Es una mezcla tan extraña de emociones.,Ansiedad (DASS-21),Moderado
51,"Hola terapeuta. Espero que no te importe que te contacte hoy. Siento que estoy perdiendo el rumbo y no sé a quién recurrir. Solía ​​pensar que el éxito me traería felicidad, pero ahora no estoy tan seguro. ¿Puedes ser un amigo y ayudarme a entender por qué?",General / Apoyo Emocional,Bajo
52,Debo decir que estoy bastante sorprendido al darme cuenta de que mi autoestima me ha impedido seguir mis sueños. Es como una barrera invisible que me ha mantenido estancada durante demasiado tiempo.,General / Apoyo Emocional,Bajo
53,"Hola, espero que te encuentres bien hoy. Quiero hablar con alguien sobre algo que realmente me pesa. Me siento avergonzado por esto, pero también siento la responsabilidad de abordarlo. Se trata de mi lucha contra la depresión.",Estrés (DASS-21),Moderado
54,"Hola terapeuta, espero que te encuentres bien! Quería hablar hoy sobre algo que ha estado en mi mente desde hace un tiempo. Últimamente me he sentido muy distraído y eso ha afectado mi carrera. Solía ​​​​estar muy concentrado y motivado, pero hoy en día siento que no puedo mantener mi mente encaminada. Me preocupa que esto afecte mi éxito a largo plazo.",General / Apoyo Emocional,Bajo
55,¡Hola! Últimamente me he sentido un poco ansioso y pensé que sería útil buscar terapia. Realmente necesito orientación y apoyo para ayudarme en este momento difícil. Creo que el amor y la confianza son claves en este proceso y espero poder encontrarlos aquí.,General / Apoyo Emocional,Bajo
56,"Me siento en paz hoy, pero últimamente he tenido problemas con la comunicación.",General / Apoyo Emocional,Bajo
57,Me he sentido muy deprimido últimamente. Creo que podría estar deprimido. También he experimentado muchas pérdidas en mi vida.,General / Apoyo Emocional,Bajo
58,"Me siento muy tenso hoy. Es difícil expresar mis sentimientos con palabras, pero supongo que es por eso que estoy aquí. Perdí a mi mamá recientemente y ha sido muy difícil para mí. Ella era mi roca, ¿sabes? A pesar de que han pasado algunos meses, el dolor todavía se siente muy intenso. Intento tener esperanzas, pero es difícil ver luz al final del túnel. Es como si estuviera atrapado en esta oscuridad interminable y no pudiera encontrar la salida.",General / Apoyo Emocional,Bajo
59,Hola. Últimamente me he sentido muy abrumado por el estrés relacionado con el trabajo. Ha estado impactando mi confianza y mis relaciones con los demás. Simplemente ya no sé cómo manejarlo.,Estrés (DASS-21),Crítico
60,Estoy tan cansado. Siento que no puedo tomar un descanso. Y últimamente he estado experimentando una sensación de pérdida.,Burnout Estudiantil (MBI-SS),Moderado
61,"Hola terapeuta. Espero que estés teniendo un buen día. Hoy me siento bastante esperanzado, a pesar de estar pasando por un momento difícil. Verás, recientemente experimenté una ruptura. Fue duro, especialmente porque estaba en una relación amorosa. Pero creo que hay un lado positivo en cada nube y tengo la esperanza de que esta experiencia me lleve a un lugar mejor.",General / Apoyo Emocional,Bajo
62,Últimamente me he sentido triste y abandonado en mis relaciones personales.,General / Apoyo Emocional,Bajo
63,"Solía ​​ser feliz, pero ahora me siento abandonado.",General / Apoyo Emocional,Bajo
64,"Tengo miedo de hablar de esto, pero creo que necesito ayuda. Últimamente he sentido mucha ansiedad y realmente está empezando a afectar mi vida diaria. Parece que no puedo deshacerme de esta preocupación y miedo constantes.",Ansiedad (DASS-21),Crítico
65,Hola amigo. Espero que puedas ayudarme hoy. He estado luchando contra el duelo y tengo algunas expectativas para esta sesión de terapia.,General / Apoyo Emocional,Bajo
66,"Últimamente he sentido mucha ansiedad y me ha resultado muy difícil sobrellevarla. Está afectando mi vida diaria, mis relaciones, todo. Sólo quiero encontrar una manera de sentirme mejor.",Ansiedad (DASS-21),Moderado
67,Me he sentido muy deprimido últimamente. Creo que es por mi adicción.,General / Apoyo Emocional,Bajo
68,Últimamente me he sentido muy deprimido y sé que necesito hacer un cambio en mis relaciones personales. Es que todo parece tan abrumador y no sé por dónde empezar.,Estrés (DASS-21),Moderado
69,"Últimamente me he sentido abrumado, especialmente en lo que respecta al trabajo. La presión y las exigencias constantes han estado afectando mi estado de ánimo pacífico. También he notado que mi autoestima se ha visto afectada por esto.",Estrés (DASS-21),Crítico
70,Me siento esperanzado pero abrumado en lo que respecta a mi carrera.,Estrés (DASS-21),Moderado
71,Últimamente me siento realmente confundida y abrumada. Mis finanzas son un desastre y eso hace que todo lo demás se sienta peor.,General / Apoyo Emocional,Bajo
72,Me siento muy inseguro y no sé qué hacer al respecto. He estado luchando contra la depresión desde hace un tiempo y está pasando factura a mi autoestima.,Estrés (DASS-21),Moderado
73,He estado luchando contra la adicción desde hace un tiempo y realmente está empezando a afectar mi confianza y mi carrera. Parece que no puedo encontrar una salida a este círculo vicioso. Ha sido abrumador y no sé qué hacer.,Estrés (DASS-21),Moderado
74,Me siento muy desanimado con respecto a mi trabajo. Últimamente no me siento seguro de mis capacidades y eso me causa mucha ansiedad.,Ansiedad (DASS-21),Moderado
75,"Hola terapeuta, espero que te encuentres bien hoy. Últimamente me he sentido frustrado y quería hablar con alguien al respecto. Está relacionado con mi trabajo, pero no es algo con lo que me sienta cómodo hablando abiertamente.",General / Apoyo Emocional,Bajo
76,¡Hola! Últimamente me he sentido frustrado y creo que podría tener algo que ver con mi infancia.,General / Apoyo Emocional,Bajo
77,"Me siento realmente preocupado y abrumado por el estrés relacionado con el trabajo. Me ha estado causando mucha ansiedad y siento que estoy al borde de una crisis nerviosa. También estoy experimentando una sensación de pérdida, como si hubiera perdido el control sobre mi propia vida.",Estrés (DASS-21),Crítico
78,"Me siento tan avergonzado, terapeuta. Mis sueños de éxito parecen muy lejanos y el estrés del trabajo me ha pasado factura.",Estrés (DASS-21),Moderado
79,"¡Hola! Últimamente me siento un poco molesto, especialmente cuando pienso en ella.",General / Apoyo Emocional,Bajo
80,"Hola, espero que estés bien hoy. Últimamente me he sentido un poco confundido y tengo algunas autocríticas sobre mi comportamiento que necesito discutir.",General / Apoyo Emocional,Bajo
81,"Tengo la esperanza de que, al buscar terapia, pueda encontrar algún alivio para el estrés relacionado con el trabajo. Últimamente me ha pesado mucho y me vendría bien un poco de orientación para mejorar mis habilidades de comunicación en el lugar de trabajo.",Estrés (DASS-21),Moderado
82,"Hola, terapeuta. Últimamente me siento muy triste. Me ha estado afectando en varias áreas de mi vida, especialmente en la escuela.",General / Apoyo Emocional,Bajo
83,"Me siento muy decepcionado y todo se debe a mi madre. Ella simplemente no entiende por lo que estoy pasando. Mi depresión ha empeorado y pensé que ella estaría allí para ayudarme, pero en lugar de eso, lo descarta como si nada.",Estrés (DASS-21),Moderado
84,"Me siento tan entumecido, como si hubiera perdido todo propósito y significado en mi vida. Solía ​​ser vibrante y llena de energía pero ahora todo se siente aburrido y vacío. No sé cómo sucedió, pero necesito asumir la responsabilidad de mis acciones.",General / Apoyo Emocional,Bajo
85,Yo... ni siquiera sé por dónde empezar. Me siento tan conmocionada y abrumada por este peso constante en mi pecho. Es como si me estuviera asfixiando en mi propia mente. No puedo soportar más este aislamiento.,Ansiedad (DASS-21),Moderado
86,"Me he sentido tan sola últimamente... es una sensación aplastante, como si tuviera un peso en el pecho. Y no puedo deshacerme de esta sensación de pérdida, aunque no puedo determinar exactamente qué he perdido.",General / Apoyo Emocional,Bajo
87,Últimamente me siento muy preocupada y abrumada. El estrés relacionado con el trabajo me ha estado agobiando y parece que no puedo deshacerme de esta sensación de inseguridad.,Estrés (DASS-21),Moderado
88,"Me siento muy feliz hoy, terapeuta, y tengo ganas de hablar de él. Verá, él ha sido una presencia muy importante en mi vida y, últimamente, mi ansiedad ha aumentado cada vez que pienso en él.",Ansiedad (DASS-21),Moderado
89,"Hola terapeuta, me siento muy ansioso en este momento. Te lo prometo, este es sólo uno de esos días en los que todo parece abrumador.",Estrés (DASS-21),Moderado
90,"Hola, últimamente me he sentido preocupado por mi relación. Creo que puede estar sucediendo algo que no puedo identificar.",Ansiedad (DASS-21),Moderado
91,"Últimamente he estado pensando mucho en las relaciones personales y no puedo evitar sentir una mezcla de emociones. Por un lado, anhelo amor y conexión, quiero construir relaciones profundas y significativas con los demás. Pero, por otro lado, no puedo negar el dolor persistente del abandono que he experimentado en el pasado.",General / Apoyo Emocional,Bajo
92,¡Hola! Espero que lo estés haciendo bién. Últimamente me he sentido muy en paz y me ha dado mucho tiempo para reflexionar sobre mi vida. Un área que he notado que necesita atención es mi carrera. Siento que ha estado estancado por un tiempo y quiero descubrir cómo hacer algunos cambios.,General / Apoyo Emocional,Bajo
93,Últimamente me he sentido realmente infeliz. Hay una presión constante que me pesa.,Estrés (DASS-21),Moderado
94,"Parece que no puedo deshacerme de este sentimiento de ira e inseguridad. Es como si me estuvieran agobiando constantemente, asfixiándome por dentro.",General / Apoyo Emocional,Bajo
95,"No puedo evitar sentirme preocupada todo el tiempo. Es como si la ansiedad se hubiera convertido en una compañera constante en mi vida. Me siento abandonado, como si mi propio bienestar estuviera siendo dejado de lado.",Ansiedad (DASS-21),Moderado
96,Me siento muy infeliz últimamente. Es como si una nube oscura me siguiera a todas partes. Parece que no puedo deshacerme de este sentimiento de preocupación y miedo constantes. Me está asfixiando.,Ansiedad (DASS-21),Crítico
97,Me siento culpable por el estado de mi matrimonio.,General / Apoyo Emocional,Bajo
98,"Últimamente me he sentido muy ansioso, terapeuta. Es como si tuviera un nudo constante en el estómago y me hace sentir muy tensa todo el tiempo.",General / Apoyo Emocional,Bajo
99,Últimamente me siento muy infeliz y creo que podría deberse a mi paternidad.,General / Apoyo Emocional,Bajo
100,"Hola. Últimamente me he sentido un poco nervioso, especialmente en lo que respecta al trabajo. Tengo tantas metas que quiero alcanzar, pero el estrés realmente me está afectando.",Estrés (DASS-21),Moderado
101,"Últimamente me siento muy esperanzado, pero al mismo tiempo no puedo ignorar el hecho de que he estado descuidando mi propio bienestar. Es como si estuviera atrapado en este ciclo de adicción y me estuviera arrastrando hacia abajo.",General / Apoyo Emocional,Bajo
102,"Me siento muy confundida últimamente. Mi autoestima ha tocado fondo y no sé qué hacer. Mis expectativas para mí están por las nubes, pero constantemente me quedo cortas.",General / Apoyo Emocional,Bajo
103,Estoy impactado. La pérdida repentina me ha dejado sintiéndome vacía y perdida. Pero me prometo que encontraré una manera de sanar.,General / Apoyo Emocional,Bajo
104,"Estoy agotado. El peso de esta depresión me ha hecho sentir como si llevara el mundo sobre mis hombros. Es asfixiante y parece que no puedo tomar un descanso. Mis sueños ahora se sienten muy distantes. Es como si se me escaparan de entre los dedos, fuera de mi alcance.",Estrés (DASS-21),Moderado
105,"Hola, espero que estés bien. Sólo necesitaba alguien con quien hablar. Últimamente me he sentido abrumado y aislado. Es como si este peso pesado me estuviera presionando, dificultando ver la luz. Ya no sé qué hacer.",Estrés (DASS-21),Crítico
106,Me siento disgustado conmigo mismo. Es como si no tuviera control sobre mi propia mente y mis emociones.,General / Apoyo Emocional,Bajo
107,Últimamente me he sentido nervioso por algo y creo que tiene un aspecto sexual.,Ansiedad (DASS-21),Moderado
108,"Últimamente me he sentido muy a la defensiva, especialmente en el trabajo. Parece que siempre hay alguien criticándome.",General / Apoyo Emocional,Bajo
109,"Hola, últimamente me siento muy abrumado. El trabajo ha sido increíblemente estresante y ya no sé cómo manejarlo. Es como un gran peso sobre mis hombros del que parece que no puedo quitarme de encima. Me siento muy desanimado y eso está afectando todos los aspectos de mi vida.",Estrés (DASS-21),Crítico
110,"Hola, espero que estés bien. Quería hablar sobre algo que me ha estado rondando la cabeza últimamente. Me he sentido muy infeliz con mi trabajo actual y el estado de mis finanzas.",General / Apoyo Emocional,Bajo
111,"Hola, me siento un poco molesto y como un fracaso en este momento. Ha sido una semana difícil y parece que no puedo deshacerme de esta nube de tristeza.",General / Apoyo Emocional,Bajo
112,¡Hola! Estoy muy emocionada de estar aquí y hablar sobre mi infancia. Ha estado mucho en mi mente últimamente y creo que podría tener algo que ver con mi adicción.,General / Apoyo Emocional,Bajo
113,"Últimamente me he sentido feliz, pero no puedo librarme de esta abrumadora sensación de aislamiento. Es como si tuviera todo lo que necesito para estar contento, pero todavía hay un vacío persistente en mi interior.",Estrés (DASS-21),Moderado
114,"Me siento muy avergonzado, terapeuta. He estado lidiando con esta adicción sexual durante años y parece que no puedo liberarme de ella. Me está carcomiendo y no sé cómo parar.",General / Apoyo Emocional,Bajo
115,Últimamente he sentido esta barrera defensiva dentro de mí. Es como si tuviera la necesidad de protegerme ante cualquier tipo de presión o dolor que pueda surgir en mi camino.,Estrés (DASS-21),Moderado
116,"Últimamente me siento muy estresado, especialmente en lo que respecta a mis relaciones personales. Ya no sé qué hacer con ella.",Estrés (DASS-21),Moderado
117,Me siento muy molesto ahora mismo. Se trata de él. Parece que no puedo deshacerme de este pesado sentimiento de pena que me ha estado agobiando.,General / Apoyo Emocional,Bajo
118,"Hola, terapeuta. Últimamente me siento muy desanimado con respecto a mi trabajo. Solía ​​​​tener mucha confianza en mis habilidades, pero el estrés relacionado con el trabajo se está apoderando de mí. Me siento abrumado y agotado todo el tiempo. Es como si no pudiera tomar un descanso.",Estrés (DASS-21),Crítico
119,Me siento tan sola últimamente. Es como si no tuviera amigos con quienes hablar o pasar tiempo. La soledad se ha convertido en una compañera constante y me pesa.,General / Apoyo Emocional,Bajo
120,"Últimamente me he sentido a la defensiva, como si constantemente estuviera levantando muros a mi alrededor. Sé que en el fondo es porque intento evitar asumir la responsabilidad de mi adicción.",General / Apoyo Emocional,Bajo
121,Realmente estoy luchando por encontrar la paz después de que ella falleció. Siento que falta una parte de mí y no sé cómo seguir adelante.,General / Apoyo Emocional,Bajo
122,"Me siento seguro hoy, terapeuta. Me he dado cuenta de que soy capaz de lograr mis sueños, a pesar de mi lucha contra la adicción. No ha sido un viaje fácil, pero estoy lista para hacer un cambio y superar este desafío que me ha frenado durante tanto tiempo.",General / Apoyo Emocional,Bajo
123,Me he sentido muy deprimido últimamente. Hay tanta presión en mi vida en este momento.,Estrés (DASS-21),Moderado
124,Siempre me pongo a la defensiva cada vez que alguien menciona el tema del duelo. Es como si no hubiera podido afrontarlo adecuadamente.,General / Apoyo Emocional,Bajo
125,"Hola, espero que estés bien hoy. Quería hablar con alguien sobre mis relaciones personales porque últimamente me he sentido bastante nervioso. Creo que está afectando mi autoestima y mi bienestar general.",Ansiedad (DASS-21),Moderado
126,"Me siento muy perdida, especialmente cuando se trata de mis finanzas. Ha sido realmente difícil afrontar la pérdida de mi trabajo.",General / Apoyo Emocional,Bajo
127,Estoy muy cansada y estresada. Siento como si un peso me aplastara.,Estrés (DASS-21),Moderado
128,"Me siento muy nervioso por algo y necesito orientación. Verá, recientemente me divorcié y eso me ha conmovido hasta lo más profundo.",Ansiedad (DASS-21),Moderado
129,Me siento muy disgustado conmigo mismo y lamento cargarte con mis problemas.,Estrés (DASS-21),Moderado
130,"Últimamente me he sentido muy frustrado, especialmente en lo que respecta al estrés relacionado con el trabajo. Ha sido abrumador y está afectando mi bienestar mental. Además de eso, mi vida personal también ha sido desafiante. Mi cónyuge y yo estamos considerando divorciarnos.",Estrés (DASS-21),Crítico
131,"Estoy tan enojado, terapeuta. Enojada con él y enojada conmigo misma. No puedo creer que me dejé hundirme en este pozo de depresión. Es como si hubiera perdido todo el control.",Estrés (DASS-21),Moderado
132,Me siento triste y estresado. Mis relaciones personales parecen estar causándome mucho dolor últimamente. No estoy seguro de cómo navegar a través de esto.,Estrés (DASS-21),Moderado
133,Últimamente me siento muy molesto por el trabajo. Ha sido una lucha constante y parece que ya no puedo encontrar ninguna alegría en ello.,General / Apoyo Emocional,Bajo
134,He estado sintiendo esta presión dolorosa últimamente y me ha estado agobiando. No estoy seguro de cómo lidiar con eso.,Estrés (DASS-21),Moderado
135,Estoy muy cansada y siento que no puedo escapar de este agotamiento interminable. Me ha estado agobiando y no sé cómo salir de este ciclo.,General / Apoyo Emocional,Bajo
136,Estoy preocupada y lo siento. Parece que no puedo liberarme de esta adicción.,General / Apoyo Emocional,Bajo
137,Últimamente me siento muy disgustado conmigo mismo. Es como si no pudiera soportar mirarme en el espejo o siquiera pensar en quién soy. Este nivel de odio hacia mí mismo me está causando mucho estrés.,Estrés (DASS-21),Moderado
138,Siento que necesito hablar sobre algo que me ha estado molestando por un tiempo. Se trata de mi lucha contra la adicción y de cómo me hace sentir celosa y atrapada en un ciclo de abuso.,General / Apoyo Emocional,Bajo
139,"Me siento realmente triste. No sé por qué, pero parece que no puedo deshacerme de este sentimiento de tristeza. Es como una nube oscura que se cierne sobre mí, haciendo que todo se sienta pesado.",General / Apoyo Emocional,Bajo
140,Me siento tan entumecido por dentro. Es como si todas mis emociones estuvieran encerradas y ya no pudiera acceder a ellas. Mi autoestima se ha visto afectada y no sé cómo liberarme de este ciclo.,General / Apoyo Emocional,Bajo
141,"Me siento culpable todo el tiempo, especialmente cuando se trata de mi familia. Parece que el estrés laboral se está apoderando de mi vida. Parece que no puedo encontrar un equilibrio entre mi trabajo y mis responsabilidades en casa.",Estrés (DASS-21),Moderado
142,"Últimamente me he sentido muy estresado y eso me está agobiando. También siento esta sensación de pérdida, como si algo faltara en mi vida.",Estrés (DASS-21),Moderado
143,"Hola terapeuta. Quería hablar contigo hoy porque últimamente me siento un poco abrumado por el estrés relacionado con el trabajo. Solía ​​tener mucha confianza en mis habilidades y sentía que podía conquistar cualquier tarea que se me presentara. Pero últimamente he sentido una sensación de traición en mi carga de trabajo, como si se estuviera apoderando de mi vida y consumiendo toda mi energía. No sé cómo encontrar mi equilibrio nuevamente.",Estrés (DASS-21),Crítico
144,"Hola terapeuta, últimamente me he sentido muy inseguro acerca de mi matrimonio. Me ha estado agobiando y no sé qué hacer al respecto.",General / Apoyo Emocional,Bajo
145,"Me siento perdido, como si me estuviera ahogando en el estrés relacionado con el trabajo. Ya no sé cómo manejarlo.",Estrés (DASS-21),Moderado
146,"Hola, últimamente me he sentido muy infeliz en mis relaciones personales, específicamente con mi novio.",General / Apoyo Emocional,Bajo
147,Hola. Últimamente me he sentido un poco arrepentido y realmente me vendría bien un poco de orientación. Se trata de una amistad que ha estado pesando mucho en mi mente.,General / Apoyo Emocional,Bajo
148,"Hola, terapeuta. Últimamente me he sentido muy triste y abrumado por esta constante sensación de pánico que se apodera de mí. Es como una nube pesada que parece no levantarse nunca. Estoy agotada y no sé cómo liberarme de este ciclo.",Estrés (DASS-21),Moderado
149,Me siento muy triste y aislada. Mis relaciones personales han pasado factura a mi bienestar emocional últimamente.,General / Apoyo Emocional,Bajo
150,"Estoy tan agotada, tanto física como emocionalmente. Siento como si hubiera estado funcionando sin combustible durante demasiado tiempo. Y lo peor es que, por mucho que lo intente, sigo experimentando rechazo tras rechazo. Parece que no puedo tomar un descanso.",General / Apoyo Emocional,Bajo
151,Me siento tan sola y es abrumadora. No puedo evitar sentir este tremendo peso de responsabilidad sobre mis hombros.,Estrés (DASS-21),Moderado
152,Últimamente me resulta difícil sentirme en paz. Es como si hubiera una tormenta constante de ansiedad gestándose dentro de mí. Y no puedo evitar pensar que tal vez se deba al abuso que experimenté en el pasado.,Ansiedad (DASS-21),Moderado
153,Me sorprende la cantidad de críticas que he recibido últimamente. Siento que todos me juzgan por mi adicción.,General / Apoyo Emocional,Bajo
154,"No lo puedo creer, todavía estoy en shock. Todo ha cambiado mucho y no sé cómo manejarlo.",General / Apoyo Emocional,Bajo
155,"Últimamente me siento muy infeliz, especialmente cuando se trata de mi novio.",General / Apoyo Emocional,Bajo
